YEAR,QTR,WEEK,PRODUCT,INDUSTRY_UNITS
2010,2010-Q2,2010-14,Freezer,40987
2010,2010-Q2,2010-14,French Door,30599
2010,2010-Q2,2010-14,Front Load,66137
2010,2010-Q2,2010-14,MHC,74632
2010,2010-Q2,2010-14,Side by Side,51335
2010,2010-Q2,2010-14,Top Load,109104
2010,2010-Q2,2010-14,Top Mount,115595
2010,2010-Q2,2010-15,2 Door Bottom Mount,9540
2010,2010-Q2,2010-15,Built-in Ovens,13485
2010,2010-Q2,2010-15,Cooktops,15536
2010,2010-Q2,2010-15,Dishwasher,116485
2010,2010-Q2,2010-15,Dryer,150279
2010,2010-Q2,2010-15,Free Standing Ranges,117427
2010,2010-Q2,2010-15,Freezer,42563
2010,2010-Q2,2010-15,French Door,28054
2010,2010-Q2,2010-15,Front Load,71113
2010,2010-Q2,2010-15,MHC,85817
2010,2010-Q2,2010-15,Side by Side,50469
2010,2010-Q2,2010-15,Top Load,119118
2010,2010-Q2,2010-15,Top Mount,125218
2010,2010-Q2,2010-16,2 Door Bottom Mount,9540
2010,2010-Q2,2010-16,Built-in Ovens,12753
2010,2010-Q2,2010-16,Cooktops,16006
2010,2010-Q2,2010-16,Dishwasher,126428
2010,2010-Q2,2010-16,Dryer,126373
2010,2010-Q2,2010-16,Free Standing Ranges,112979
2010,2010-Q2,2010-16,Freezer,45000
2010,2010-Q2,2010-16,French Door,29187
2010,2010-Q2,2010-16,Front Load,67740
2010,2010-Q2,2010-16,MHC,67078
2010,2010-Q2,2010-16,Side by Side,59843
2010,2010-Q2,2010-16,Top Load,96292
2010,2010-Q2,2010-16,Top Mount,108470
2010,2010-Q2,2010-17,2 Door Bottom Mount,9540
2010,2010-Q2,2010-17,Built-in Ovens,13646
2010,2010-Q2,2010-17,Cooktops,15975
2010,2010-Q2,2010-17,Dishwasher,139359
2010,2010-Q2,2010-17,Dryer,130106
2010,2010-Q2,2010-17,Free Standing Ranges,130865
2010,2010-Q2,2010-17,Freezer,43244
2010,2010-Q2,2010-17,French Door,39642
2010,2010-Q2,2010-17,Front Load,70496
2010,2010-Q2,2010-17,MHC,70157
2010,2010-Q2,2010-17,Side by Side,55655
2010,2010-Q2,2010-17,Top Load,90748
2010,2010-Q2,2010-17,Top Mount,130564
2010,2010-Q2,2010-18,2 Door Bottom Mount,9819
2010,2010-Q2,2010-18,Built-in Ovens,12031
2010,2010-Q2,2010-18,Cooktops,19128
2010,2010-Q2,2010-18,Dishwasher,111756
2010,2010-Q2,2010-18,Dryer,121470
2010,2010-Q2,2010-18,Free Standing Ranges,101177
2010,2010-Q2,2010-18,Freezer,35354
2010,2010-Q2,2010-18,French Door,38680
2010,2010-Q2,2010-18,Front Load,54334
2010,2010-Q2,2010-18,MHC,67933
2010,2010-Q2,2010-18,Side by Side,49809
2010,2010-Q2,2010-18,Top Load,83865
2010,2010-Q2,2010-18,Top Mount,103654
2010,2010-Q2,2010-19,2 Door Bottom Mount,9819
2010,2010-Q2,2010-19,Built-in Ovens,12027
2010,2010-Q2,2010-19,Cooktops,13583
2010,2010-Q2,2010-19,Dishwasher,117102
2010,2010-Q2,2010-19,Dryer,123119
2010,2010-Q2,2010-19,Free Standing Ranges,118636
2010,2010-Q2,2010-19,Freezer,38065
2010,2010-Q2,2010-19,French Door,35566
2010,2010-Q2,2010-19,Front Load,62257
2010,2010-Q2,2010-19,MHC,67441
2010,2010-Q2,2010-19,Side by Side,52386
2010,2010-Q2,2010-19,Top Load,90901
2010,2010-Q2,2010-19,Top Mount,111657
2010,2010-Q2,2010-20,2 Door Bottom Mount,9819
2010,2010-Q2,2010-20,Built-in Ovens,12690
2010,2010-Q2,2010-20,Cooktops,13724
2010,2010-Q2,2010-20,Dishwasher,128512
2010,2010-Q2,2010-20,Dryer,140212
2010,2010-Q2,2010-20,Free Standing Ranges,121735
2010,2010-Q2,2010-20,Freezer,34664
2010,2010-Q2,2010-20,French Door,43824
2010,2010-Q2,2010-20,Front Load,65086
2010,2010-Q2,2010-20,MHC,73227
2010,2010-Q2,2010-20,Side by Side,55029
2010,2010-Q2,2010-20,Top Load,84561
2010,2010-Q2,2010-20,Top Mount,114802
2010,2010-Q2,2010-21,2 Door Bottom Mount,9819
2010,2010-Q2,2010-21,Built-in Ovens,12424
2010,2010-Q2,2010-21,Cooktops,14627
2010,2010-Q2,2010-21,Dishwasher,122778
2010,2010-Q2,2010-21,Dryer,121946
2010,2010-Q2,2010-21,Free Standing Ranges,125161
2010,2010-Q2,2010-21,Freezer,43830
2010,2010-Q2,2010-21,French Door,46827
2010,2010-Q2,2010-21,Front Load,57855
2010,2010-Q2,2010-21,MHC,69700
2010,2010-Q2,2010-21,Side by Side,62681
2010,2010-Q2,2010-21,Top Load,78604
2010,2010-Q2,2010-21,Top Mount,111359
2010,2010-Q2,2010-22,2 Door Bottom Mount,6794
2010,2010-Q2,2010-22,Built-in Ovens,11304
2010,2010-Q2,2010-22,Cooktops,10604
2010,2010-Q2,2010-22,Dishwasher,88862
2010,2010-Q2,2010-22,Dryer,100955
2010,2010-Q2,2010-22,Free Standing Ranges,94339
2010,2010-Q2,2010-22,Freezer,27567
2010,2010-Q2,2010-22,French Door,34930
2010,2010-Q2,2010-22,Front Load,44034
2010,2010-Q2,2010-22,MHC,57480
2010,2010-Q2,2010-22,Side by Side,52424
2010,2010-Q2,2010-22,Top Load,72547
2010,2010-Q2,2010-22,Top Mount,84556
2010,2010-Q2,2010-23,2 Door Bottom Mount,6794
2010,2010-Q2,2010-23,Built-in Ovens,12381
2010,2010-Q2,2010-23,Cooktops,13194
2010,2010-Q2,2010-23,Dishwasher,108419
2010,2010-Q2,2010-23,Dryer,116241
2010,2010-Q2,2010-23,Free Standing Ranges,114180
2010,2010-Q2,2010-23,Freezer,33204
2010,2010-Q2,2010-23,French Door,40367
2010,2010-Q2,2010-23,Front Load,52056
2010,2010-Q2,2010-23,MHC,57853
2010,2010-Q2,2010-23,Side by Side,62240
2010,2010-Q2,2010-23,Top Load,84859
2010,2010-Q2,2010-23,Top Mount,114194
2010,2010-Q2,2010-24,2 Door Bottom Mount,6794
2010,2010-Q2,2010-24,Built-in Ovens,13272
2010,2010-Q2,2010-24,Cooktops,11976
2010,2010-Q2,2010-24,Dishwasher,117161
2010,2010-Q2,2010-24,Dryer,106213
2010,2010-Q2,2010-24,Free Standing Ranges,113611
2010,2010-Q2,2010-24,Freezer,41093
2010,2010-Q2,2010-24,French Door,43164
2010,2010-Q2,2010-24,Front Load,55233
2010,2010-Q2,2010-24,MHC,57680
2010,2010-Q2,2010-24,Side by Side,65302
2010,2010-Q2,2010-24,Top Load,86552
2010,2010-Q2,2010-24,Top Mount,101498
2010,2010-Q2,2010-25,2 Door Bottom Mount,6794
2010,2010-Q2,2010-25,Built-in Ovens,10919
2010,2010-Q2,2010-25,Cooktops,12710
2010,2010-Q2,2010-25,Dishwasher,113172
2010,2010-Q2,2010-25,Dryer,137920
2010,2010-Q2,2010-25,Free Standing Ranges,113242
2010,2010-Q2,2010-25,Freezer,46177
2010,2010-Q2,2010-25,French Door,46244
2010,2010-Q2,2010-25,Front Load,84069
2010,2010-Q2,2010-25,MHC,67659
2010,2010-Q2,2010-25,Side by Side,64472
2010,2010-Q2,2010-25,Top Load,103690
2010,2010-Q2,2010-25,Top Mount,110977
2010,2010-Q2,2010-26,2 Door Bottom Mount,6795
2010,2010-Q2,2010-26,Built-in Ovens,10762
2010,2010-Q2,2010-26,Cooktops,10528
2010,2010-Q2,2010-26,Dishwasher,108251
2010,2010-Q2,2010-26,Dryer,141701
2010,2010-Q2,2010-26,Free Standing Ranges,98772
2010,2010-Q2,2010-26,Freezer,44249
2010,2010-Q2,2010-26,French Door,45469
2010,2010-Q2,2010-26,Front Load,61308
2010,2010-Q2,2010-26,MHC,61617
2010,2010-Q2,2010-26,Side by Side,55285
2010,2010-Q2,2010-26,Top Load,110872
2010,2010-Q2,2010-26,Top Mount,115006
2010,2010-Q3,2010-27,2 Door Bottom Mount,8903
2010,2010-Q3,2010-27,Built-in Ovens,10073
2010,2010-Q3,2010-27,Cooktops,8970
2010,2010-Q3,2010-27,Dishwasher,84248
2010,2010-Q3,2010-27,Dryer,102775
2010,2010-Q3,2010-27,Free Standing Ranges,89508
2010,2010-Q3,2010-27,Freezer,32170
2010,2010-Q3,2010-27,French Door,40302
2010,2010-Q3,2010-27,Front Load,46065
2010,2010-Q3,2010-27,MHC,41008
2010,2010-Q3,2010-27,Side by Side,47947
2010,2010-Q3,2010-27,Top Load,71891
2010,2010-Q3,2010-27,Top Mount,94367
2010,2010-Q3,2010-28,2 Door Bottom Mount,8903
2010,2010-Q3,2010-28,Built-in Ovens,12427
2010,2010-Q3,2010-28,Cooktops,11678
2010,2010-Q3,2010-28,Dishwasher,99876
2010,2010-Q3,2010-28,Dryer,96689
2010,2010-Q3,2010-28,Free Standing Ranges,106597
2010,2010-Q3,2010-28,Freezer,38880
2010,2010-Q3,2010-28,French Door,39444
2010,2010-Q3,2010-28,Front Load,50519
2010,2010-Q3,2010-28,MHC,65924
2010,2010-Q3,2010-28,Side by Side,54132
2010,2010-Q3,2010-28,Top Load,78364
2010,2010-Q3,2010-28,Top Mount,113328
2010,2010-Q3,2010-29,2 Door Bottom Mount,8903
2010,2010-Q3,2010-29,Built-in Ovens,11718
2010,2010-Q3,2010-29,Cooktops,12044
2010,2010-Q3,2010-29,Dishwasher,92086
2010,2010-Q3,2010-29,Dryer,85951
2010,2010-Q3,2010-29,Free Standing Ranges,100169
2010,2010-Q3,2010-29,Freezer,50514
2010,2010-Q3,2010-29,French Door,39011
2010,2010-Q3,2010-29,Front Load,47986
2010,2010-Q3,2010-29,MHC,56756
2010,2010-Q3,2010-29,Side by Side,45572
2010,2010-Q3,2010-29,Top Load,74512
2010,2010-Q3,2010-29,Top Mount,99344
2010,2010-Q3,2010-30,2 Door Bottom Mount,8904
2010,2010-Q3,2010-30,Built-in Ovens,13107
2010,2010-Q3,2010-30,Cooktops,11685
2010,2010-Q3,2010-30,Dishwasher,97598
2010,2010-Q3,2010-30,Dryer,100927
2010,2010-Q3,2010-30,Free Standing Ranges,111544
2010,2010-Q3,2010-30,Freezer,46240
2010,2010-Q3,2010-30,French Door,42559
2010,2010-Q3,2010-30,Front Load,55553
2010,2010-Q3,2010-30,MHC,57673
2010,2010-Q3,2010-30,Side by Side,50174
2010,2010-Q3,2010-30,Top Load,81259
2010,2010-Q3,2010-30,Top Mount,118022
2010,2010-Q3,2010-31,2 Door Bottom Mount,9258
2010,2010-Q3,2010-31,Built-in Ovens,9958
2010,2010-Q3,2010-31,Cooktops,10601
